Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
8533356,52912,1,empty,7.4,68,empty,71,6.3,tt0237539,86,3.9,5579
6783104,136937,8,empty,7.3,85,empty,73,6.8,tt0247196,84,3.8,22079
32190312,12214788,1971,56233766,4.9,13,empty,3,3.2,tt0186975,49,2.7,51481
1669940,232303,40,empty,7.1,57,empty,52,5.5,tt0197096,64,3.4,1506
6655679,4385631,1561,4820037,4.4,10,empty,13,3.2,tt0174336,32,2.4,4592
2312472,105372,9,10684415,6.9,46,empty,46,5.2,tt0203540,67,3.5,5433
10512812,3874418,2112,80333951,5.6,33,empty,10,3.7,tt0167203,56,3.1,5506
1864178,322645,20,321335,3.9,N/A,empty,empty,empty,tt0217107,70,3.6,1262
33141566,11261133,1983,56233766,5.3,29,empty,11,3.8,tt0204175,50,2.9,28187
59092523,18354245,1918,56233766,5.7,52,empty,52,5.5,tt0186894,33,2.7,21806
2919001,36057,2,empty,6.5,57,empty,73,6.5,tt0180837,60,3.2,1435
35338762,346530,10,8033395,7.7,74,2811,85,7.3,tt0249462,89,3.5,280154
293709158,54007781,3012,112467532,6.4,47,1598,54,5.7,tt0207201,54,3.1,628751
24845726,9653909,2016,32133580,5.3,35,empty,24,4.2,tt0217630,35,2.6,52019
198116290,68314112,3242,134961038,4.3,38,empty,26,4.4,tt0144528,33,2.6,231540
4880414,144874,5,24100185,5.9,62,empty,54,5.4,tt0200669,39,3.0,3149
34493482,13665629,2539,22493506,4.1,16,empty,9,3,tt0192731,20,2.5,49483
4887201,72363,5,16066790,7.1,78,empty,81,6.9,tt0200720,72,3.5,5016
44089075,13077049,1237,32133580,7.2,70,4835,82,6.7,tt0199725,95,3.9,186481
24947106,2096669,1483,91580705,5.8,55,4056,32,4.9,tt0149624,42,3.0,11894
205763862,1065557,16,27313543,7.9,93,2423,97,8.6,tt0190332,86,3.6,426207
60860995,21057980,2568,77120593,6.0,49,2962,49,5.5,tt0230030,42,2.7,370999
1418231,92125,8,38560296,6.4,58,empty,64,6,tt0138946,52,3.2,8900
2520476,100020,4,3213358,6.0,70,empty,56,5.8,tt0171359,47,3.0,10232
375371864,46406362,2774,144601113,7.7,73,943,90,7.4,tt0162222,83,3.5,742342
16860725,7247255,1714,24100185,5.1,25,empty,17,3.8,tt0195778,61,3.1,20226
5509374,100067,33,empty,7.5,54,3773,55,5.6,tt0213847,85,3.8,29249
27594503,7398148,1506,46593692,6.7,52,3077,43,5,tt0210616,82,3.5,104186
1717790,111196,6,3277625,7.5,84,empty,52,5.5,tt0203166,33,2.7,21806
2621841,1129670,296,16066790,5.7,42,empty,24,4.5,tt0171356,36,2.9,5274
4630548,129630,6,241001,6.2,71,empty,78,6.7,tt0271219,56,3.1,5119
2962025,1394010,398,12853432,7.2,49,empty,49,5.6,tt0216799,76,3.6,4734
1630867,48708,9,empty,7.3,79,empty,empty,empty,tt0202641,empty,empty,empty
4746780,2199069,750,70693877,5.3,34,empty,empty,empty,tt0141399,empty,empty,empty
21068448,8054068,1489,36953617,4.6,64,empty,57,5.7,tt0205271,20,2.3,15138
6973586,147478,9,empty,6.7,70,empty,80,6.8,tt0234853,68,3.4,6217
63911441,24546715,2547,80333951,6.6,43,1124,19,4.4,tt0163978,57,3.0,216824
7145200,106116,3,empty,7.1,77,empty,88,7.2,tt0243862,78,3.6,6032
8063038,3226518,1085,12853432,5.3,41,empty,34,4.7,tt0206420,43,3.0,8037
4703262,545980,89,empty,6.0,57,empty,46,5.2,tt0153464,34,3.0,1127
4913835,50934,1,27490599,7.3,73,empty,88,7.2,tt0191636,77,3.6,3314
4392731,182004,6,empty,8.1,85,2192,90,7.8,tt0118694,94,4.3,52304
52477831,12565573,2007,38560296,6.9,54,empty,61,6.1,tt0122459,79,3.3,46806
114571896,4970406,658,40166975,7.3,64,2125,63,6,tt0241303,83,3.6,328499
60656842,17652592,2255,104434137,5.5,24,empty,20,4.1,tt0174480,54,2.9,33475
2803426,176243,7,1606679,7.0,51,empty,63,6,tt0222850,72,3.6,8453
1734773,21155,2,empty,6.8,47,empty,37,4.5,tt0204640,85,4.1,3387
59505613,12979831,2152,46593692,6.4,60,empty,69,6.2,tt0171433,59,3.0,53451
56605495,16899748,3040,133354359,3.6,27,4905,25,4,tt0158622,20,2.3,44022
1689922,101546,6,empty,6.9,64,empty,58,5.9,tt0211492,70,3.5,1244
24073791,9431827,2007,40166975,4.7,25,empty,20,3.7,tt0156841,35,2.6,16394
14035191,empty,empty,51413729,5.5,20,empty,16,3.5,tt0202402,45,2.9,45315
346094552,92938825,3653,200834879,6.1,59,1859,57,5.9,tt0120755,43,3.0,450856
54259437,13324091,2437,24100185,6.8,30,2968,35,4.7,tt0198021,77,3.5,63764
36788983,14115455,2375,81091872,5.6,39,empty,33,4.8,tt0225071,45,2.9,66117
1652548,71099,10,empty,5.9,37,empty,empty,empty,tt0245407,45,3.2,128
72057707,3920635,2449,73441696,6.4,44,3292,50,5.3,tt0035423,62,3.0,189617
43964879,13168100,1533,24480565,6.4,55,4645,71,6.2,tt0255819,87,3.8,62498
1381369,466743,38,382508,6.7,50,empty,42,4.8,tt0203289,74,3.6,3020
92415443,20671225,2785,53551236,5.2,33,1839,16,3.9,tt0209475,59,3.1,483420
21232260,104877,2,160653,7.4,77,empty,95,7.9,tt0265343,87,3.8,27435
24507192,10582680,1434,7650176,6.2,53,empty,64,6.1,tt0184791,58,3.0,36005
1611007,75283,7,7853763,6.6,57,empty,66,6.3,tt0269499,65,3.4,3127
15908335,7351200,2338,21420494,5.3,27,empty,10,3.4,tt0192111,56,2.9,46983
17687604,6326660,1742,33660777,5.8,52,empty,44,5,tt0192071,52,2.9,51875
1601540,51349,5,empty,7.0,65,empty,45,5.7,tt0265930,59,3.2,96802
30132349,10738695,2335,52021201,4.9,21,1510,8,3.1,tt0234829,40,2.6,49993
39083061,11030552,1595,87212014,5.9,36,empty,29,4.4,tt0238112,50,2.9,34359
1676975,103750,7,empty,5.9,44,empty,34,4.8,tt0240402,41,2.9,2519
29608584,11340395,2467,33660777,5.9,22,empty,18,3.4,tt0239948,51,3.0,61822
7653711,3118745,1605,19890459,5.6,41,4664,30,3.8,tt0258470,48,2.8,243429
3572204,97472,11,empty,6.9,N/A,empty,empty,empty,tt0189541,63,3.2,892
1396068,112745,4,empty,6.9,50,empty,53,5.6,tt0250081,68,3.4,8934
47818139,266392,7,6120141,7.1,69,2995,85,7.3,tt0285742,67,3.3,57347
25902156,7214208,1601,19890459,6.5,61,empty,63,5.7,tt0250224,69,3.1,64368
85810449,25263011,2980,99452296,6.9,54,1380,58,5.8,tt0183790,79,3.5,377959
87803172,109571,51,76501766,7.6,66,1107,76,7.1,tt0203009,89,3.7,504048
34021714,11813314,1297,19890459,6.1,35,empty,43,4.9,tt0269341,84,3.6,34093
6665970,3529887,900,24480565,4.1,34,empty,19,3.5,tt0279286,47,2.8,8321
1470835,270854,54,3672084,4.4,N/A,empty,empty,empty,tt0248617,57,3.4,4474
6804088,1000228,202,empty,6.5,58,empty,74,6.4,tt0255653,70,3.5,5141
1976987,35411,2,8415194,7.1,76,empty,79,7.1,tt0280778,74,3.6,9292
38523482,16853685,2268,61201413,6.7,27,3691,16,3.5,tt0230838,76,3.4,94496
10745346,530920,26,1530035,6.7,72,empty,84,7.1,tt0264761,65,3.2,16478
2280023,72815,7,empty,7.2,65,2538,71,6.5,tt0254455,85,3.8,21877
41393292,15778856,2438,61201413,4.7,27,empty,11,3.2,tt0246544,33,2.8,20728
261190796,3826765,524,88742049,8.2,72,434,75,7.2,tt0268978,93,3.9,489503
6140806,242561,11,empty,6.4,56,empty,60,5.8,tt0254099,58,3.2,6428
2373803,empty,empty,empty,7.2,82,empty,88,7.3,tt0287471,79,3.7,1086
6538410,3694417,1202,33660777,2.1,14,empty,7,2.8,tt0118589,45,2.1,44320
3675847,834071,99,1530035,6.5,49,empty,57,5.5,tt0239986,54,3.1,5174
1540698,19664,1,empty,6.6,46,empty,43,4.9,tt0250202,67,3.5,4934
4910619,169890,11,10710247,6.4,63,empty,75,6.5,tt0266391,52,3.1,7874
165618329,34980079,2537,39780918,6.2,52,964,47,5.2,tt0247638,68,3.2,757264
2907498,45397,3,8735556,7.4,79,2929,73,6.9,tt0254686,81,3.8,19801
145355423,31178181,2620,27540636,6.2,59,1295,68,6.2,tt0250494,72,3.1,971591
143223047,46179338,3011,70381625,5.7,44,empty,32,4.7,tt0265029,40,2.8,132254
10270287,4635789,2222,137703180,4.4,34,empty,13,3.5,tt0141907,14,2.4,2668
153944288,38274626,2742,104042402,6.9,45,1908,42,5.3,tt0259711,72,3.0,297392
50799714,208803,3,20157992,8.4,69,819,89,8.1,tt0211915,95,4.2,467130
41828156,15316571,2345,35190812,6.1,32,3007,43,4.9,tt0244970,57,3.1,41430
6576595,239583,25,empty,6.4,64,empty,72,6.6,tt0157583,55,3.2,8309
24867304,9796419,2194,64261484,6.0,33,2534,12,3.4,tt0218922,61,3.1,52703
6824609,102054,6,empty,7.4,84,empty,90,7.4,tt0259393,82,3.8,7405
42546099,11270557,2361,110162544,6.9,27,empty,42,4.9,tt0268995,60,3.1,57945
8440758,4378812,1974,38250883,4.9,21,empty,9,3.1,tt0239949,32,2.6,12113
6406152,140625,8,382508,6.9,75,empty,86,7.3,tt0258273,63,3.4,5237
61712481,18056441,2750,53551236,6.2,47,3966,53,5.3,tt0125022,51,2.9,71151
2079521,41433,1,12827813,7.4,82,empty,97,7.8,tt0274117,82,3.8,5683
139291779,42116430,2230,19890459,6.2,53,2146,53,5.5,tt0206275,59,3.1,31845692
76892400,20363609,2601,42840989,6.9,52,1690,59,5.8,tt0240890,79,3.4,227869
6361955,61883,2,empty,7.3,72,empty,92,7.2,tt0246772,89,4.0,7952
109398377,16423296,1611,38250883,6.7,66,233,81,6.9,tt0243155,81,3.3,494937
2190436,70921,6,9945229,6.7,57,empty,51,5.9,tt0265307,55,3.3,1487
61450330,18150954,2411,16395869,7.4,35,849,27,4.1,tt0281358,78,3.3,31401681
38420085,307043,5,17886402,7.4,61,2504,76,6.9,tt0120679,86,3.7,53572
15059824,2347909,270,37263339,6.4,52,empty,65,6.4,tt0256276,58,3.3,8186
13838508,155605,2,empty,8.0,86,3235,92,8.1,tt0287467,93,4.1,52634
22313344,10065158,2406,70055077,6.2,65,3062,66,6.5,tt0307479,59,2.9,47574
60203614,21120048,3002,44716006,5.6,61,2660,61,5.8,tt0300532,58,2.9,371303
21536106,9269977,2604,59621342,5.8,31,empty,28,4.5,tt0282687,44,2.8,44432
84063353,18787735,1836,29810671,5.7,63,empty,82,6.7,tt0303933,70,3.2,321968
4502579,empty,empty,empty,5.0,42,empty,empty,empty,tt0291928,29,2.6,18
2365734,63890,5,14905335,7.2,71,empty,77,6.8,tt0309912,75,3.6,9848
23632391,314918,6,20122203,7.4,84,empty,empty,empty,tt0297884,empty,empty,empty
189616843,53135643,3293,56640275,6.2,45,877,38,5.2,tt0256415,78,3.3,802378
20890999,226027,4,11924268,6.5,71,empty,81,6.9,tt0279113,59,3.0,66068
36414140,14056725,2670,64092943,5.1,32,4258,26,4.2,tt0253867,65,3.0,199574
8510374,739736,43,2682960,6.8,60,empty,62,6.2,tt0313196,74,3.6,12687
40785040,16006664,1372,11924268,6.5,58,empty,66,6.2,tt0297037,90,3.8,55602
55430956,25360274,2380,17886402,3.3,27,3495,14,3.9,tt0275022,39,2.2,359274
26518128,547328,5,37263339,7.3,78,2217,79,7.4,tt0272338,77,3.3,139187
3735941,1102747,208,2981067,4.7,45,empty,38,5.2,tt0290212,27,2.5,6128
188110284,55392381,3231,74526678,5.8,24,2919,22,4,tt0280590,59,3.3,738017
60465960,12755434,1207,44716006,7.1,75,1772,94,7.7,tt0276751,54,2.8,31163672
5663042,537742,13,372633,7.2,67,empty,81,7,tt0280477,79,3.7,8124
28555752,7853269,1185,22358003,6.7,66,3079,61,6.3,tt0283084,70,3.3,80488
359871752,890388,108,7452667,6.6,62,1298,76,6.7,tt0259446,73,3.2,764518
7175792,4151557,1893,16395869,5.3,12,empty,10,3.1,tt0240900,51,2.8,28350
5806617,88402,11,8847807,7.3,65,empty,77,6.5,tt0283900,86,3.9,34511
139078401,21357101,2755,89432013,6.1,42,3317,42,5.3,tt0313737,59,3.0,273711
9737087,3774642,1437,5962134,6.7,50,3075,43,5.3,tt0292644,71,3.2,50490
2222509,empty,empty,empty,6.0,35,empty,40,5,tt0303785,58,3.2,6233
10189072,491534,22,31301204,6.7,59,empty,63,6.4,tt0179098,66,3.4,10231
103723,18228523,2225,25339070,5.6,53,2338,38,4.8,tt0243736,43,3.0,460688
