Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
2329854,52469,2,empty,7.3,86,empty,94,7.5,tt0240913,83,3.7,4062
72274374,14501216,2621,49807050,7.3,67,2433,70,6.5,tt0186151,81,3.4,135576
8382844,2418937,1357,38560296,4.6,14,empty,2,2.7,tt0163676,38,2.6,6587
24786545,9322319,1981,59447124,5.6,25,empty,29,4.4,tt0186045,46,2.7,15215
8208233,3730273,1525,38560296,5.9,31,empty,empty,empty,tt0176783,empty,N,4
152633131,48731813,2708,120500927,7.2,62,1167,68,6.2,tt0217869,77,3.4,288019
34493482,13665629,2539,22493506,4.1,16,empty,9,3,tt0192731,20,2.5,49483
143216277,55773198,3467,64267161,5.5,56,2945,36,5.2,tt0134084,38,2.8,404234
55500640,20920379,2516,131747680,5.9,49,3542,41,5.2,tt0216216,32,2.7,125691
6135026,47388,2,empty,7.2,75,empty,96,7.5,tt0216800,79,3.6,4427
41042402,378353,11,14460111,8.5,80,445,92,8.2,tt0209144,94,4.1,377769
75079105,22245939,2087,20886827,5.5,30,2255,18,3.6,tt0242423,47,2.8,367229
46477561,14560199,2742,48200371,5.3,22,empty,10,3.4,tt0204626,29,2.7,21524
57330450,24223060,2944,15300353,6.1,49,2076,45,5.1,tt0263488,48,2.9,391497
28287773,10938533,1780,1836042,7.1,48,1059,35,5,tt0247745,90,3.7,262259
4744104,1745308,601,26010600,3.9,20,empty,4,2.6,tt0218619,26,2.6,11365
30172189,8821184,1275,53551236,6.8,71,empty,78,6.8,tt0237572,59,3.2,21834
37005099,13803204,1751,47431095,6.9,55,empty,49,5.7,tt0252501,64,3.3,23411
15908335,7351200,2338,21420494,5.3,27,empty,10,3.4,tt0192111,56,2.9,46983
11469943,3762838,903,50491166,6.8,52,2780,45,5.2,tt0256524,54,3.1,16442
9354998,4624566,1870,61201413,6.2,33,empty,22,3.9,tt0160399,41,3.0,7350
31188448,15338065,2310,44371024,4.7,18,empty,8,3,tt0242998,33,2.5,56284
13497638,217038,6,4590106,6.7,78,empty,82,7.1,tt0250323,59,3.3,5642
48346527,16853060,2305,53551236,6.8,54,2335,57,5.7,tt0120681,66,3.3,202908
76983942,26339979,2541,104042402,7.4,49,3619,41,5.1,tt0272152,75,3.2,79157
24867304,9796419,2194,64261484,6.0,33,2534,12,3.4,tt0218922,61,3.1,52703
153944288,38274626,2742,104042402,6.9,45,1908,42,5.3,tt0259711,72,3.0,297392
84148081,26149029,2802,76501766,6.3,38,4143,24,4.4,tt0260866,49,3.0,52738
6576595,239583,25,empty,6.4,64,empty,72,6.6,tt0157583,55,3.2,8309
6824609,102054,6,empty,7.4,84,empty,90,7.4,tt0259393,82,3.8,7405
69168478,21471157,2910,114752650,5.5,29,empty,24,4,tt0249478,37,2.9,42524
33619744,11241565,2497,35190812,6.6,75,2744,73,6.6,tt0206314,65,3.1,63599
27466323,8780028,1591,45901060,5.8,34,3886,21,4.3,tt0221218,39,2.8,58107
63203640,5195631,658,30294699,7.3,90,2310,86,7.5,tt0280707,78,3.5,48130
11046209,1469687,247,22950530,8.0,81,250,82,7.4,tt0166924,88,3.7,186881
61921544,20875742,2717,62602409,6.3,48,4484,31,5,tt0257756,50,3.1,38753
52509553,16707168,2331,47697074,6.5,52,3376,52,5.5,tt0265349,56,3.0,52975
2447140,282232,27,11924268,6.8,83,empty,85,7.5,tt0278731,68,3.4,20906
19358523,94759,7,44716006,7.1,84,empty,87,7.7,tt0258068,73,3.5,10547
15591113,94355,6,11179001,7.2,70,empty,83,7.1,tt0272207,79,3.4,27612
7890176,3383943,753,empty,4.8,55,empty,33,4.8,tt0270707,27,2.6,10118
15059824,2347909,270,37263339,6.4,52,empty,65,6.4,tt0256276,58,3.3,8186
15977576,7548176,2341,37263339,4.9,36,empty,16,4.3,tt0267248,32,2.7,13031
13838508,155605,2,empty,8.0,86,3235,92,8.1,tt0287467,93,4.1,52634
22313344,10065158,2406,70055077,6.2,65,3062,66,6.5,tt0307479,59,2.9,47574
9825750,4138090,1066,52168674,6.3,59,empty,48,5.4,tt0280665,49,2.9,18685
47510562,13872983,2663,74526678,6.1,50,4874,31,5.3,tt0264935,49,3.1,61796
100395652,31197119,2610,68564543,7.2,78,855,92,7.7,tt0278504,76,3.3,103808
44811110,15227328,2507,89432013,6.1,25,empty,7,3.6,tt0259288,62,3.1,54428
196771464,53177952,3001,152034423,7.7,80,1205,90,8.1,tt0181689,80,3.4,479763
181340821,40421243,2638,89432013,7.9,68,386,83,7,tt0258463,93,3.9,963959
33438503,13318552,2575,89432013,6.2,50,empty,48,5.8,tt0269095,40,2.9,16020
339790512,89606525,3264,107318416,6.7,59,1323,74,6.8,tt0286106,67,3.2,919869
191652355,22380947,1981,71545611,7.1,57,748,72,6.6,tt0298130,48,3.0,32458438
18920268,7667438,1615,25339070,4.8,31,empty,38,4.2,tt0283632,24,2.6,12856
46145711,17269615,2837,15797678,4.9,23,1971,9,3.3,tt0282209,34,2.8,81393
85577557,27701139,2382,57446102,5.8,38,3063,14,4.1,tt0348836,45,3.0,397571
6774985,140204,6,17233830,5.3,46,empty,34,4.8,tt0199626,34,2.7,12716
3380312,39465,1,28723051,6.9,68,empty,76,6.7,tt0310778,75,3.5,4302
14513046,412103,13,empty,6.8,70,4168,84,7.1,tt0324133,67,3.3,29647
30710736,11762913,2035,empty,4.9,37,empty,12,3.8,tt0331468,22,2.6,30592
75831929,23412249,2376,empty,6.6,56,3915,43,5.5,tt0292506,58,3.2,110025
2810078,1271543,583,4308457,8.4,74,632,80,7.3,tt0364569,94,4.3,131354
73927335,23301953,2733,43084577,7.3,64,1031,62,6.4,tt0309698,75,3.4,190238
129447886,920308,13,35903814,8.0,84,960,87,7.7,tt0327056,89,3.7,202241
77249660,19334023,2762,86169154,6.3,43,3789,27,4.7,tt0338337,46,2.9,164122
1516723,131835,5,7180762,6.6,43,empty,34,5,tt0335563,66,3.3,17986
11000565,6374936,1975,54573797,5.1,21,4996,8,2.9,tt0304711,38,2.8,22546
2319555,69354,4,empty,7.5,73,empty,33,3.5,tt0326977,46,2.7,7837
76912797,906512,2063,1673429,7.7,46,829,48,5.5,tt0387564,84,3.7,851406
245773785,73243051,3165,104589371,7.8,73,539,81,7.2,tt0372183,90,3.9,707617
58311870,25176755,2803,69726247,5.1,30,empty,11,3.5,tt0204313,27,2.8,80383
17893318,9509813,2598,41835748,7.0,40,2841,25,4.4,tt0324554,79,3.5,55351
7268043,205511,3,6972624,7.5,81,empty,88,7.5,tt0275491,86,3.9,45987
8037867,862756,56,empty,5.9,60,empty,43,5.6,tt0331952,32,2.9,7365
159248660,70766761,3730,83671497,6.5,44,1217,43,5.5,tt0368447,57,3.0,453318
66632338,25432743,3018,55780998,6.6,46,2948,46,5.5,tt0363988,65,3.3,428699
45576341,15979115,2705,62753623,6.2,38,2182,22,4.6,tt0364045,55,3.2,69256
6980828,2378469,550,27890499,6.1,50,empty,38,5.2,tt0337876,43,2.8,28135
12149887,4806055,1500,37652173,5.9,37,empty,18,4.4,tt0324127,38,3.0,11732
3782978,84319,10,empty,7.4,65,empty,empty,empty,tt0352994,empty,N,1
52657374,21727086,3170,97616747,6.1,64,empty,72,6.8,tt0346156,46,2.8,118887
6248509,2665436,1040,37652173,6.4,33,empty,25,4.3,tt0297284,57,3.2,33953
81100600,18866452,2730,26495974,5.9,29,3658,14,3.9,tt0364751,68,3.3,408417
35135126,12417267,2703,69726247,5.2,26,empty,1,2.9,tt0315297,31,2.8,19057
8601174,141891,4,65542673,7.7,76,4327,78,7.4,tt0344510,85,3.9,65208
153643002,54565969,3245,13945249,5.9,49,2657,39,5.1,tt0391198,46,2.9,458342
201928640,72766154,3420,167342995,7.1,59,1406,58,6,tt0343818,70,3.4,997859
92932823,29315858,3104,58570048,5.8,43,empty,31,5,tt0356618,36,2.9,183640
91967123,27916465,2867,111561996,6.6,76,1915,81,7.1,tt0368008,62,3.2,67915
13574548,5982572,1789,1351014,5.9,39,empty,22,3.9,tt0384286,51,3.0,69807
121195400,33275392,3424,74305772,6.2,53,2032,38,5.3,tt0408790,48,3.2,496703
88131197,31758296,3323,25669266,6.0,33,538,23,4.2,tt0384806,52,3.2,360340
8516470,3679732,1331,39179407,7.1,44,2773,44,5.5,tt0366627,73,3.5,78774
64586975,21694509,2771,58093603,6.5,47,3392,38,5.3,tt0397101,58,3.1,192003
75475365,32577764,2261,13510140,5.5,30,empty,8,3.5,tt0375210,31,2.7,188202
4910134,109717,5,12105085,7.3,83,3122,89,7.8,tt0387898,78,3.6,51003
18557634,1054342,27,13510140,7.2,79,4651,88,7.5,tt0412019,70,3.3,95069
22018888,7813600,1680,18914196,5.0,38,empty,12,3.5,tt0429573,36,2.9,89031
45366777,14808885,1346,26952730,7.5,82,2279,84,7.6,tt0387131,82,3.5,217265
4899969,2956287,1684,67550702,6.9,41,2717,27,4.6,tt0371257,71,3.4,72819
10166064,261880,8,27020280,6.8,64,empty,62,6.5,tt0377107,59,3.2,88692
117572122,42861801,2949,5404056,6.6,40,2503,36,4.6,tt0432348,59,3.2,32524096
78168463,21842738,3079,35126365,6.5,71,3622,79,6.7,tt0421239,64,3.2,435811
97969269,30833457,2758,108081123,6.4,62,empty,56,6,tt0373926,54,3.1,79113
5733373,244074,8,20265210,7.6,72,1468,85,7.5,tt0373469,87,3.7,202435
62637223,25697171,3052,27020280,4.1,32,empty,13,3.4,tt0357507,21,2.5,261568
69037474,29667232,3005,40530421,5.9,35,4263,13,3.9,tt0382077,50,3.1,278101
102526118,47373627,3332,empty,5.4,44,2917,20,4.5,tt0377109,33,2.8,399915
9289076,4736628,1570,13221374,5.3,36,4637,16,3.8,tt0454970,28,2.7,83455
72196884,21189229,2723,33053435,5.5,43,4627,27,4.7,tt0466909,40,3.0,340268
29740802,9297165,1984,35697709,7.8,53,2083,51,5.9,tt0425210,87,3.8,336206
29772319,13229168,2226,66106870,5.6,49,2212,32,4.8,tt0387877,27,2.6,97538
117015295,38282415,2818,59496183,7.6,76,910,87,7.3,tt0454848,85,3.7,350456
31259996,15522203,2784,52885496,3.7,36,602,15,3.5,tt0450345,17,2.3,88394
10346809,4699053,1367,5288549,5.9,51,empty,40,5.5,tt0448075,35,2.8,92812
7736074,4232717,empty,92549618,4.2,26,2181,7,3.1,tt0430912,26,2.5,88993
287612664,101901609,3735,165267175,6.6,46,947,25,4.8,tt0382625,57,3.2,760402
13916444,4028452,538,5288549,6.7,48,4033,40,5.4,tt0457513,56,3.2,70004
10246367,5922674,1984,19832061,4.8,38,empty,16,3.9,tt0433442,32,2.9,192218
7273892,517844,empty,11502595,7.1,73,2640,69,6.6,tt0405296,74,3.4,139533
32638,4952,2,4891908,6.5,44,empty,38,5.2,tt0450340,54,3.2,16826
8167096,224375,8,17325288,7.6,82,4050,94,7.6,tt0362225,87,3.9,33368
52655177,1226885,51,21154198,7.6,68,1403,74,6.9,tt0443543,83,3.8,416601
16543754,8867722,2361,49798305,5.1,43,empty,23,4.6,tt0349467,25,2.7,101007
55890380,23857170,3235,92549618,5.6,36,1731,24,4.2,tt0452637,49,2.9,419271
70192130,19570024,2281,52885496,8.5,66,210,76,7.1,tt0482571,92,4.0,547619
62117495,26644503,2926,66106870,6.6,30,1299,29,4.5,tt0384537,63,3.2,366527
3306408,empty,empty,21398255,4.7,24,3191,9,2.8,tt0374563,23,2.8,328886
61708754,906165,15,31468023,7.3,82,1192,90,7.6,tt0465538,69,3.5,299330
18096880,7372167,2002,10825000,6.5,33,4095,23,4.2,tt0211933,54,3.2,237688
64096257,1002994,32,37761627,7.8,85,977,83,7.4,tt0783233,80,3.8,225879
9011368,425477,19,4793209,7.5,74,1624,87,7.4,tt0464141,86,4.0,66221
29838724,14475290,2661,76523938,5.7,31,empty,11,3.5,tt0457433,51,3.2,336412
286322596,87208830,3660,138459302,8.1,85,436,93,8,tt0440963,91,4.1,1921450
21229947,688636,15,41852470,7.7,82,2031,89,7.7,tt0765443,83,3.8,148384
25552309,6924734,1713,23915697,7.7,72,1002,94,7.7,tt0452623,86,3.8,208402
21311258,8757193,2168,37761627,5.9,17,empty,5,2.6,tt0411061,44,3.1,103872
9104938,4413441,1320,15104651,3.6,16,empty,7,2.1,tt0897361,25,2.4,142905
8531284,168110,9,empty,7.2,65,2730,73,7,tt0478134,77,3.7,29071
60233074,22101489,2831,25174418,5.9,29,empty,8,3.8,tt0477071,50,3.1,468733
42692543,18380934,2759,40279069,6.4,N/A,empty,8,3.5,tt0481369,56,3.2,484718
100961618,27975050,2925,25174418,6.9,62,1998,69,6.2,tt0486822,77,3.7,1452091
44527042,18519965,2528,20139534,5.4,34,4002,12,3.7,tt0425430,44,3.1,491886
29729460,7361584,825,13392790,7.9,81,802,91,7.7,tt0425112,89,4.0,563433
79639599,39972903,3183,12587209,5.9,36,3840,17,3.7,tt0890870,62,3.5,568835
49096032,13864379,2443,empty,7.2,68,1195,71,6.5,tt0488120,73,3.5,382417
63363091,25326260,2466,12061281,6.2,47,1077,45,5,tt0482606,47,3.1,310772
68423616,36248919,3060,13026183,5.8,20,4246,12,2.9,tt1132626,52,3.4,239069
32416537,15090439,2240,32565459,3.9,24,4481,0,2.5,tt0479968,29,2.7,61777
25306537,12087518,3185,36183844,5.9,47,4273,31,4.8,tt0443701,32,2.8,253582
52912057,25093424,2700,24122562,3.9,17,2285,8,2.7,tt0926129,38,2.9,269831
