Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
19271663,19002,3,16066790,6.7,62,3843,57,5.8,tt0219699,55,3.2,50755
143216277,55773198,3467,64267161,5.5,56,2945,36,5.2,tt0134084,38,2.8,404234
22845157,10816066,2280,144601113,4.8,19,empty,10,3.2,tt0134983,16,2.4,10995
85639710,16092211,2587,36953617,6.7,36,2114,34,4.7,tt0195714,69,3.4,482850
42450571,21246542,3317,24100185,4.0,15,987,13,3.4,tt0229260,18,2.1,58015
98458838,28141063,2411,53020408,6.3,40,2188,46,5.3,tt0209958,57,2.8,180511
117623911,42439440,2956,152634508,5.7,24,2132,27,4.4,tt0164052,27,2.6,366482
249781313,47723121,2813,160667903,6.6,51,3120,46,5.5,tt0161081,59,3.1,278676
34493482,13665629,2539,22493506,4.1,16,empty,9,3,tt0192731,20,2.5,49483
13301723,241276,6,12853432,6.9,71,empty,81,7,tt0189998,74,3.4,25152
53021013,13876191,2204,86760667,4.9,26,4129,17,3.5,tt0219653,40,2.8,69851
26959489,12780755,1970,80333951,4.8,16,empty,7,3,tt0160484,21,2.6,10720
46477561,14560199,2742,48200371,5.3,22,empty,10,3.4,tt0204626,29,2.7,21524
63047144,22518797,1832,36953617,7.1,49,2320,57,5.6,tt0134847,77,3.5,278126
47194875,15124768,2524,104434137,5.1,17,empty,3,3,tt0163983,42,2.8,35222
147605331,21558124,1678,26010600,7.6,74,1112,83,7.2,tt0230600,77,3.4,343269
57330450,24223060,2944,15300353,6.1,49,2076,45,5.1,tt0263488,48,2.9,391497
19294864,10173214,1878,16830388,4.4,25,2897,19,3.6,tt0211443,24,2.5,71202
12905237,5820945,2048,42840989,4.9,35,3565,21,3.7,tt0228333,24,2.4,44536
11181124,4320128,847,24480565,4.1,42,empty,21,3.8,tt0166110,39,2.7,18166
64059458,23203529,2781,64261484,5.5,30,2131,14,3.4,tt0245674,49,3.0,262358
4744104,1745308,601,26010600,3.9,20,empty,4,2.6,tt0218619,26,2.6,11365
48346527,16853060,2305,53551236,6.8,54,2335,57,5.7,tt0120681,66,3.3,202908
31188448,15338065,2310,44371024,4.7,18,empty,8,3,tt0242998,33,2.5,56284
20887516,empty,empty,empty,5.2,N/A,empty,25,5.1,tt0278475,45,3.2,586
10335803,4620949,1514,22950530,5.3,35,empty,7,3.3,tt0245120,40,2.9,10922
44834230,17146238,2787,52168674,5.5,28,2392,14,3.8,tt0288477,37,2.8,376684
52509553,16707168,2331,47697074,6.5,52,3376,52,5.5,tt0265349,56,3.0,52975
191652355,22380947,1981,71545611,7.1,57,748,72,6.6,tt0298130,48,3.0,32458438
59799772,26393035,2528,49187607,6.7,33,1160,33,4.5,tt0120804,68,3.4,445696
25736305,9666792,2530,44716006,5.4,53,2592,48,5.5,tt0271367,32,2.5,102579
67169239,14997537,1260,11924268,7.6,73,820,87,7.4,tt0289043,85,3.6,480685
19687001,10564092,2550,62602409,3.3,16,empty,3,2.6,tt0295254,17,2.3,57836
31534096,12868648,2087,2235800,5.6,56,1711,63,5.9,tt0303816,44,2.6,249911
121694839,48484099,2707,80488812,6.7,52,1602,57,5.9,tt0187738,68,3.4,450130
45218018,21996601,2511,52168674,5.2,30,2411,17,3.9,tt0238546,66,3.1,259594
33030350,9186614,1700,15799655,5.4,15,empty,empty,empty,tt0273517,67,3.8,65
45103026,18321818,1954,22358003,4.1,19,empty,12,3.4,tt0220506,26,2.8,89979
18920268,7667438,1615,25339070,4.8,31,empty,38,4.2,tt0283632,24,2.6,12856
48377184,21581672,2945,97658374,5.5,35,1883,30,4.7,tt0285531,36,2.8,132108
46145711,17269615,2837,15797678,4.9,23,1971,9,3.3,tt0282209,34,2.8,81393
85577557,27701139,2382,57446102,5.8,38,3063,14,4.1,tt0348836,45,3.0,397571
14647828,8162057,1520,10053067,2.0,15,empty,4,1.9,tt0317676,9,1.9,46935
22142271,7412698,1615,18095522,6.1,32,1786,41,4.3,tt0295700,54,3.0,143028
18145733,4970044,595,10053067,6.0,31,1560,19,3.4,tt0251736,65,3.2,130365
117999058,52316260,3014,43084577,5.8,37,2216,41,4.8,tt0329101,50,2.9,393094
66717619,23003058,2834,37339966,6.2,38,3329,48,5,tt0309593,58,3.2,449205
115105131,40347290,3016,13212603,6.2,38,1672,36,4.8,tt0324216,57,3.2,400156
5235405,2725393,1323,3538679,6.8,42,3143,empty,empty,tt0338095,83,4.0,16
50471186,26375260,3124,24414593,5.6,36,4486,empty,empty,tt0301470,empty,empty,empty
9840724,5759823,1761,31595356,6.1,61,empty,64,6.2,tt0310357,51,2.9,21653
23729501,12236287,2059,16734299,4.9,46,empty,32,4.4,tt0387575,39,2.6,139777
76912797,906512,2063,1673429,7.7,46,829,48,5.5,tt0387564,84,3.7,851406
58311870,25176755,2803,69726247,5.1,30,empty,11,3.5,tt0204313,27,2.8,80383
71401704,32124657,3284,62753623,6.2,35,1891,21,3.9,tt0318627,61,3.3,407258
6961690,4183574,empty,11923188,5.6,45,empty,29,4.4,tt0331953,43,2.7,51897
92932823,29315858,3104,58570048,5.8,43,empty,31,5,tt0356618,36,2.9,183640
82306197,37265297,2745,36257648,7.4,59,1282,75,6.7,tt0363547,77,3.4,403223
43964341,17867054,2905,34863123,4.6,40,empty,26,4.2,tt0366174,27,2.4,261633
6248509,2665436,1040,37652173,6.4,33,empty,25,4.3,tt0297284,57,3.2,33953
18776425,4644857,607,7418872,8.0,76,1026,92,7.8,tt0365748,93,3.9,495844
153643002,54565969,3245,13945249,5.9,49,2657,39,5.1,tt0391198,46,2.9,458342
19990020,9483630,2323,34863123,4.8,24,empty,4,3.3,tt0335121,20,2.5,40364
82325926,32314545,3028,92038647,6.8,72,1505,81,6.8,tt0167190,65,3.2,457710
111953992,53397833,3395,83671497,5.6,29,2557,21,4,tt0370263,39,3.0,429633
20113934,8305080,2195,40530421,5.1,30,3895,11,3.5,tt0402901,28,2.8,93500
21867983,6631055,1749,1351014,6.3,54,1719,53,5.5,tt0416315,49,3.0,94819
69037474,29667232,3005,40530421,5.9,35,4263,13,3.9,tt0382077,50,3.1,278101
26067682,13014433,2805,47285491,5.0,31,4446,16,3.4,tt0257516,30,2.7,55833
2555876,1608775,816,70252730,4.2,24,empty,6,2.8,tt0318081,18,2.4,43510
64586975,21694509,2771,58093603,6.5,47,3392,38,5.3,tt0397101,58,3.1,192003
22833658,9548068,1757,9457098,6.9,53,1028,53,5.4,tt0395584,78,3.6,111897
22018888,7813600,1680,18914196,5.0,38,empty,12,3.5,tt0429573,36,2.9,89031
39869926,15878355,2972,24318252,3.6,27,empty,4,2.7,tt0432291,18,2.5,228542
43298390,16316515,3111,40530421,5.3,41,1573,25,4.3,tt0397065,42,2.7,404255
27966101,13809666,2249,20265210,6.2,71,4447,73,6.6,tt0418819,51,3.1,137213
102526118,47373627,3332,empty,5.4,44,2917,20,4.5,tt0377109,33,2.8,399915
37870612,20925680,3043,81060842,5.2,34,3402,19,3.9,tt0419706,34,2.7,333187
63872331,26420564,empty,6484867,5.9,55,1185,61,5.8,tt0450278,53,3.1,470585
75475365,32577764,2261,13510140,5.5,30,empty,8,3.5,tt0375210,31,2.7,188202
